"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT"
"TID_NEXT_STAR_WINS","- Get next crown to WIN -","- Obtenez une couronne pour GAGNER -","- Nächste Krone für den SIEG -","¡Consigue otra corona y ganarás!","- Ottieni la prossima corona per VINCERE -","- Krijg volgende kroon om te WINNEN -","- Ta neste krone for å VINNE -","- KAZANMAK için sonraki tacı kap -","-次のクラウン先取で勝利！-","- 승리하려면 다음 크라운을 차지하세요 -","- Получи еще одну корону для ПОБЕДЫ -","- احصل على التاج التالي للفوز -","- A próxima coroa desempata -","- 获取下个皇冠即可获胜 -","- 取得下一頂皇冠來獲得勝利 -"
"TID_STAR_CHEST_COOLDOWN","Crown Chest is available once every <NUMBER> hours","Un coffre à couronne est disponible toutes les <NUMBER> heures.","Kronentruhe ist alle <NUMBER> Stunden einmal verfügbar.","El cofre de coronas está disponible una vez cada <NUMBER> horas.","Il baule della corona è disponibile una volta ogni <NUMBER> ore","De kroonkist is om de <NUMBER> uur beschikbaar","Kronekisten er tilgjengelig hver <NUMBER>. time","Taç Sandığı her <NUMBER> saatte bir kullanılabilir","クラウン宝箱は<NUMBER>時間に1つだけ入手可能です","크라운 상자는 <NUMBER>시간마다 한 번씩 사용 가능합니다.","Королевский сундук доступен каждые <NUMBER> ч.","صندوق التاج متاح كل <NUMBER> من الساعات","O baú da coroa está disponível a cada <NUMBER> horas.","每隔<NUMBER>小时可兑换一次皇冠宝箱","每 <NUMBER> 小時可換取皇冠寶箱"
"TID_STAR_CHEST_TIP","Collect <NUMBER> crowns from battles to get the Crown Chest!","Récupérez <NUMBER> couronnes lors des combats pour obtenir le coffre à couronne !","Sammle <NUMBER> Kronen in Kämpfen, um die Kronentruhe zu erhalten!","Consigue <NUMBER> coronas en las batallas para ganar un cofre de coronas.","Raccogli <NUMBER> corone dalle battaglie per ottenere il baule della corona!","Verzamel <NUMBER> kronen tijdens gevechten om de kroonkist te krijgen!","Samle <NUMBER> kroner i kamper for å få kronekisten!","Taç Sandığını almak için savaşlardan <NUMBER> taç topla!","バトルでクラウンを<NUMBER>個集めれば\nクラウン宝箱を入手します！","전투에서 크라운을 <NUMBER>개 모으면 크라운 상자를 얻을 수 있습니다!","Собирай короны (<NUMBER>) в битвах, чтобы получить королевский сундук!","اجمع <NUMBER> من التيجان من المعارك للحصول على صندوق التاج!","Colete <NUMBER> coroas nas batalhas para ter acesso ao baú da coroa!","在对战中累积获得<NUMBER>个皇冠可兑换皇冠宝箱！","在對戰中累積取得 <NUMBER> 頂皇冠，就可以兌換皇冠寶箱！"
"TID_FREE_CHEST_TIP","Free chest can be collected once in <NUMBER> hours","Vous recevrez un coffre gratuit toutes les <NUMBER> heures.","Gratistruhe kann einmal in <NUMBER> Stunden gesammelt werden.","Puedes recoger un cofre gratis cada <NUMBER> horas.","Il baule omaggio può essere raccolto una volta ogni <NUMBER> ore","Je kunt om de <NUMBER> uur een gratis kist ophalen","Du kan innkassere en gratiskiste hver <NUMBER>. time","Ücretsiz sandık <NUMBER> saatte bir toplanabilir","おまけの宝箱は<NUMBER>時間に1つ入手可能です","무료 상자는 <NUMBER>시간 마다 한 번씩 사용 가능합니다.","Бесплатные сундуки можно получить каждые <NUMBER> ч.","يمكن جمع صناديق مجانية مرة واحدة كل <NUMBER> من الساعات","Um baú grátis pode ser coletado a cada <NUMBER> horas.","您每隔<NUMBER>小时可以领取一次免费宝箱","每 <NUMBER> 小時都能從免費寶箱中收取物品"
"TID_BUTTON_VIEW_ALLIANCE","Clan","Clan","Clan","Clan","Clan","Clan","Klan","Klan","クラン","클랜","Клан","قبيلة","Clã","部落","部落"
"TID_ALLIANCE_LEFT","You have left the clan!","Vous avez quitté le clan !","Du hast den Clan verlassen!","Has abandonado el clan.","Hai abbandonato il clan!","Je hebt de clan verlaten!","Du har forlatt klanen!","Klandan ayrıldın!","クランを脱退しました！","클랜을 탈퇴했습니다!","Ты больше не в клане!","لقد غادرت القبيلة!","Você saiu do clã.","您已离开部落！","你已離開此部落！"
"TID_ALLIANCE_KICK","You have been kicked from the clan!","Vous avez été exclu(e) du clan !","Du wurdest aus dem Clan geworfen!","Te han expulsado del clan.","Sei stato espulso dal clan!","Je bent uit de clan gezet!","Du har blitt sparket fra klanen!","Klandan atıldın!","クランから追放されました！","클랜에서 추방되었습니다!","Тебя выгнали из клана!","تم طردك من القبيلة!","Você foi expulso do clã.","您被踢出了部落！","你已遭此部落除名！"
"TID_KICK_OUT_DEFAULT_REASON","Sorry, we decided to kick you out of the clan.","Désolé, nous avons décidé de t'exclure du clan.","Tut uns leid, wir haben uns entschieden, dich aus dem Clan zu werfen.","Lo sentimos, hemos decidido expulsarte del clan.","Spiacenti, abbiamo deciso di espellerti dal clan.","Sorry, we hebben besloten je uit de clan te zetten.","Beklager, vi har besluttet å sparke deg fra klanen.","Üzgünüz, seni klandan atmaya karar verdik.","残念ですが、あなたをクランから追放することが決まりました。","죄송합니다만 클랜에서 내보내기로 결정되었습니다.","Прости, но мы решили изгнать тебя из клана.","عذرًا، قررنا طردك من القبيلة.","Desculpe, decidimos expulsar você do clã.","抱歉，我们决定把您踢出部落。","抱歉，我們決定將你從部落中除名。"
"TID_FULL_DECK_NEEDED","You need to have 8 cards in your Battle Deck! Open some chests to get them.","Vous devez posséder 8 cartes de combat ! Ouvrez des coffres pour les obtenir.","Du brauchst 8 Karten in deinem Kampfdeck! Öffne Truhen, um sie zu erhalten.","Necesitas tener 8 cartas en tu baraja bélica. ¡Abre cofres para conseguir más!","Devi avere 8 carte nel tuo mazzo da battaglia! Apri dei bauli per ottenerle.","Je moet in totaal 8 gevechtskaarten hebben! Open kisten om ze te krijgen.","Du må ha åtte kort i kampkortene dine. Du skaffer dem ved å åpne kister.","Savaş Destende 8 kart olmalı. Kart edinmek için birkaç sandık aç.","バトルデッキにはカードが8枚必要です！ 宝箱を開けてカードを手に入れましょう。","전투 덱에는 카드 8장이 필요합니다! 상자를 열어서 카드를 얻으세요.","У тебя должно быть 8 карт в боевой колоде! Открой сундуки, чтобы их получить.","يجب أن يكون لديك 8 بطاقات في مجموعة المعركة! افتح بعض الصناديق لتحصل عليها.","Você precisa de 8 cartas no seu baralho de batalha! Abra alguns baús para consegui-las.","您要在出战卡组中拥有8张卡牌！打开一些宝箱来获取卡牌吧。","你的戰鬥牌組需要八張卡片！打開寶箱來獲得卡片吧。"
"TID_YOU_ARE_HERE_ARENA","Your Arena","Votre arène","Deine Arena","Tu arena","La tua arena","Jouw arena","Din arena","Arenan","現在のアリーナ","내 아레나","Твоя арена","ساحتك","Sua arena","您的竞技场","你的鬥技場"
"TID_CLAN_JOIN_FAILED","Joining the clan failed","Vous n'avez pas pu rejoindre le clan.","Clanbeitritt fehlgeschlagen","Ha fallado la unión al clan...","Impossibile unirsi al clan","Aansluiten bij clan mislukt","Du kan ikke bli med i klanen","Klana katılım başarısız","クランに参加できませんでした","클랜 가입에 실패했습니다","Не удалось вступить в клан","فشل الانضمام إلى القبيلة","Falha ao entrar no clã.","加入部落失败","加入部落失敗"
"TID_CLAN_JOIN_FAILED_FULL","Clan is full","Ce clan est complet.","Clan ist voll","¡El clan está lleno!","Il clan è al completo","Clan is vol","Klanen er full","Klan dolu","クランが満員です","클랜이 가득 찼습니다","Клан переполнен","القبيلة ممتلئة","O clã está cheio.","部落已满员","部落人數已滿"
"TID_CLAN_JOIN_FAILED_NOT_OPEN","Clan is closed","Ce clan est fermé.","Clan ist geschlossen","¡El clan está cerrado!","Il clan è chiuso","Clan is besloten","Klanen er lukket","Klan kapalı","参加不可のクランです","비공개 클랜입니다","Клан закрыт","القبيلة مغلقة","O clã está fechado.","部落已经关闭","部落已停止徵募"
"TID_CLAN_JOIN_FAILED_SCORE_TOO_LOW","Your score is too low for this clan","Votre score est trop faible pour ce clan.","Deine Punktzahl ist zu niedrig für diesen Clan.","No tienes suficientes puntos para entrar en este clan.","Il tuo punteggio è troppo basso per questo clan","Je score is te laag voor deze clan","Du har for få poeng til å bli med i denne klanen","Puanın bu klan için çok düşük","このクランの参加可能スコアに達していません","점수가 낮아 이 클랜에 가입할 수 없습니다","Твой счет слишком мал для этого клана","نتيجتك منخفضة جدًا لهذه القبيلة","Sua pontuação é muito baixa para este clã.","您的奖杯数太低，无法加入该部落","你的分數與部落的要求落差太大"
"TID_CLAN_JOIN_FAILED_BANNED","You have been banned from this clan","Vous avez été exclu(e) de ce clan.","Du wurdest aus diesem Clan verbannt.","Se te ha vetado en este clan.","Sei stato escluso da questo clan","Je bent verbannen van deze clan","Du er utestengt fra denne klanen","Bu klanda engellendin","このクランへの参加を禁じられています","이 클랜에 가입이 금지되어 있습니다","Тебя заблокировали в этом клане","تم حظرك من هذه القبيلة","Você foi banido deste clã.","您被禁止加入该部落","您被禁止加入這個部落"
"TID_CLAN_JOIN_FAILED_TARGET_ALREADY_IN_CLAN","Player is already in clan","Le joueur est déjà dans un clan.","Spieler ist bereits im Clan.","Este jugador ya está en un clan.","Il giocatore fa già parte di un clan","Speler is al lid van een clan","Spilleren er allerede med i klanen","Oyuncu zaten bir klanda","このプレイヤーはすでにクランに参加しています","이미 클랜에 가입한 플레이어입니다","Игрок уже в клане","اللاعب في قبيلة بالفعل","O jogador já está em um clã.","玩家已经加入其他部落了","玩家已經在其他部落中了"
"TID_UPGRADE_AVAILABLE","Upgrade Available!","Amélioration disponible !","Verbesserung verfügbar!","¡Mejora disponible!","Miglioramento disponibile!","Upgrade beschikbaar!","Oppgradering tilgjengelig!","Yükseltme Mevcut!","アップグレード可能！","업그레이드 사용 가능!","Доступно улучшение","ترقية متاحة!","Melhoria disponível!","可以升级了！","已有可用的升級！"
"TID_UPGRADE_NOT_ENOUGH_GOLD","Not enough gold!","Pas assez d'or !","Nicht genug Gold!","Oro insuficiente","Oro insufficiente!","Niet genoeg goud!","Ikke nok gull!","Yeterli altın yok!","ゴールドが足りません","골드가 부족합니다!","Нужно больше золота!","لا يوجد ذهب كاف!","Ouro insuficiente!","金币不够！","黃金不足！"
"TID_NEXT_IN","Next in:","Suivant dans :","Nächste in:","Siguiente:","Prossimo tra:","Volgende over:","Neste om:","Sonrakine:","次の入手まで：","다음:","Доступен через:","التالي خلال:","Próximo em:","等待时间：","等待時間："
"TID_DONATION_COOLDOWN","Donation cooldown:","Délai d'attente :","Spendenabklingzeit:","Tiempo de espera:","Ricarica donazioni:","Afkoeltijd donatie:","Ventetid før neste donasjon:","Bağış bekleme süresi:","寄付可能な間隔：","지원 대기 시간:","Время перезарядки пожертвований:","فترة هدوء التبرع:","Tempo de espera de doação:","捐赠冷却：","增援冷卻時間："
"TID_CHAT_BOTTOM_BUTTON","Scroll down","Faire défiler","Nach unten scrollen","Bajar","Scorri in basso","Omlaag bladeren","Bla ned","Aşağı in","下へスクロール","스크롤 내리기","Прокрути вниз","تمرير للأسفل","Rolar para baixo","向下滚动","往下捲動"
"TID_CHAT_BOTTOM_NEW_MESSAGES","<count> new messages!","<count> nouveaux messages !","<count> neue Nachrichten!","¡<count> mensajes nuevos!","<count> nuovi messaggi!","<count> nieuwe berichten!","<count> nye meldinger!","<count> yeni mesaj!","<count>件の新着メッセージがあります！","새 메시지 <count>개!","Новых сообщений: <count>!","<count> من الرسائل الجديدة!","<count> mensagens novas!","<count>条新消息！","<count> 封新訊息！"
"TID_CHAT_BOTTOM_NEW_MESSAGE","New message!","Nouveau message !","Neue Nachricht!","¡Nuevo mensaje!","Nuovo messaggio!","Nieuw bericht!","Ny melding!","Yeni mesaj!","新着メッセージあり！","새 메시지!","Новые сообщения!","رسالة جديدة!","Nova mensagem!","新消息！","新訊息！"
"TID_TO_OPEN","To open:","Pour ouvrir :","Zum Öffnen:","Necesitas:","Per aprire:","Om te openen:","Du kan åpne:","Açmak için:","開放まで：","모은 수","Чтобы открыть:","للفتح:","Para abrir:","打开需集齐：","打開需收集："
"TID_STAR_CHEST","Crown Chest","Coffre à couronne","Kronentruhe","Cofre de coronas","Baule della corona","Kroonkist","Kronekiste","Taç Sandığı","クラウン宝箱","크라운 상자","Королевский сундук","صندوق التاج","Baú da coroa","皇冠宝箱","皇冠寶箱"
